Nombre,Juli,August,September,Oktober,November,Dezember,Januar,Total
Client 1,1,0,2,0,0,0,0,3
Client 2,1,0,0,1,0,0,0,2
Client 3,0,4,0,0,0,0,0,4
Client 4,1,0,2,0,0,0,0,3
Client 5,0,0,0,1,0,0,0,1
Client 6,0,0,0,0,0,0,1,1
Client 7,0,0,0,0,1,0,0,1
Client 8,0,0,2,2,3,1,2,10
Client 9,0,0,2,0,0,0,0,2
Client 10,0,0,2,5,5,2,0,14
Client 11,0,1,2,1,0,0,0,4
Client 12,0,0,1,0,0,0,0,1
Client 13,4,1,2,0,0,0,0,7
Client 14,0,0,0,0,0,0,0,0
Client 15,0,0,0,0,0,0,0,0
Client 16,1,0,4,0,0,0,0,5
Client 17,0,1,2,3,2,2,2,12
Client 18,0,0,2,2,2,2,0,8
Client 19,0,0,0,0,0,1,0,1
Client 20,1,0,0,0,0,0,0,1
Client 21,1,0,0,0,0,0,0,1
Client 22,0,0,1,1,0,0,0,2
Client 23,1,0,0,0,0,0,0,1
Client 24,0,0,0,0,1,0,0,1
Client 25,1,0,0,0,0,0,0,1
Client 26,0,0,1,0,0,0,0,1
Client 27,1,0,0,0,0,0,0,1
Client 28,0,0,0,0,0,0,0,0
Client 29,0,0,0,1,3,1,0,5
Client 30,0,2,3,3,1,2,1,12
Client 31,1,1,1,1,2,0,0,6
Client 32,0,2,2,3,4,0,0,11
Client 33,0,0,1,0,0,0,0,1
Client 34,0,1,0,0,0,0,0,1
Client 35,0,0,1,3,1,2,0,7
Client 36,0,0,0,1,0,0,0,1
Client 37,3,3,3,3,8,5,0,25
Client 38,0,0,0,1,0,0,0,1
Client 39,1,3,3,0,0,0,0,7
Client 40,0,0,0,2,0,1,0,3
Client 41,1,0,3,4,4,2,1,15
Client 42,1,0,0,0,0,0,0,1
Client 43,0,0,0,0,0,0,0,0
Client 44,0,0,0,0,0,0,0,0
Client 45,2,0,0,0,0,0,0,2
Client 46,0,0,0,0,0,0,0,0
Client 47,0,0,5,7,7,4,3,26
Client 48,0,0,3,2,3,1,1,10
Client 49,0,0,1,0,0,0,0,1
Client 50,0,0,0,0,1,2,0,3
Client 51,0,0,5,1,1,1,0,8
Client 52,2,2,3,2,3,1,0,13
Client 53,0,0,2,0,0,0,0,2
Client 54,1,0,0,0,0,0,0,1
Client 55,1,0,0,0,1,2,0,4
Client 56,0,0,0,0,0,0,0,0
Client 57,0,0,0,0,0,0,0,0
Client 58,0,0,0,0,0,0,0,0
Client 59,0,0,0,0,0,0,0,0
Client 60,0,0,0,4,7,4,2,17
Client 61,0,0,0,1,1,0,1,3
Client 62,0,0,0,1,0,0,0,1
Client 63,3,0,0,0,0,0,0,3
Client 64,0,0,0,0,0,0,3,3
Client 65,0,0,1,0,0,0,0,1
Client 66,0,0,1,0,0,0,0,1
Client 67,0,0,0,0,0,2,0,2
Client 68,0,0,0,0,0,1,0,1
Client 69,0,0,2,2,3,1,0,8
Client 70,0,0,1,0,0,0,0,1
Client 71,0,0,1,2,2,1,0,6
Client 72,0,1,1,1,1,1,0,5
Client 73,3,1,3,0,0,0,0,7
Client 74,1,0,0,0,0,0,0,1
Client 75,0,0,1,0,0,0,0,1
Client 76,0,0,1,0,0,0,0,1
Client 77,1,0,0,0,0,0,0,1
Client 78,0,1,0,0,0,0,0,1
Client 79,0,0,1,0,0,0,0,1
Client 80,0,0,0,0,1,1,0,2
Client 81,0,0,5,1,3,1,0,10
Client 82,0,0,3,2,2,4,2,13
Client 83,0,0,0,1,0,2,2,5
Client 84,0,0,0,0,1,2,0,3
Client 85,0,0,0,0,0,1,0,1
Client 86,0,0,2,6,1,0,0,9
Client 87,0,0,0,0,1,0,0,1
Client 88,0,0,0,0,0,0,0,0
Client 89,2,0,0,0,0,0,0,2
Client 90,0,0,0,0,1,0,0,1
Client 91,0,0,0,0,0,0,0,0
Client 92,0,0,2,2,3,0,0,7
Client 93,0,0,0,0,1,0,0,1
Client 94,0,1,3,6,5,1,2,18
Client 95,1,0,0,0,0,0,0,1
Client 96,2,1,2,1,2,0,1,9
Client 97,0,0,0,0,0,1,0,1
Client 98,0,0,2,0,0,0,0,2
Client 99,0,1,2,2,0,0,0,5
Client 100,0,0,0,0,0,0,3,3
Client 101,1,0,0,2,0,0,0,3
Client 102,1,5,0,0,0,0,0,6
Client 103,0,1,0,5,1,2,0,9
Client 104,1,0,0,0,0,0,0,1
Client 105,5,1,0,0,0,0,0,6
Client 106,0,0,0,0,1,0,0,1
Client 107,1,0,0,0,0,0,0,1
Client 108,3,1,2,2,3,2,0,13
Client 109,0,2,2,0,0,0,0,4
Client 110,0,0,0,0,1,0,0,1
Client 111,0,0,1,0,0,0,0,1
Client 112,0,0,0,1,0,0,0,1
Client 113,2,3,4,0,7,5,3,24
Client 114,0,0,0,0,3,0,0,3
Client 115,0,0,0,0,0,1,0,1
Client 116,1,1,0,1,0,0,0,3
Client 117,0,0,0,0,1,0,0,1
Client 118,0,1,4,7,4,5,1,22
Client 119,4,2,2,1,2,1,0,12
Client 120,0,0,0,0,1,0,0,1
Client 121,0,0,0,0,0,0,0,0
Client 122,3,2,2,2,4,1,0,14
Client 123,0,0,0,0,0,0,0,0
Client 124,3,0,1,0,0,0,0,4
Client 125,0,0,0,0,2,2,3,7
Client 126,0,0,0,0,1,0,0,1
Client 127,0,0,0,1,0,0,0,1
Client 128,0,0,0,0,0,1,0,1
Client 129,0,2,2,0,0,0,0,4
Client 130,0,1,1,2,1,1,0,6
Client 131,0,0,1,0,0,0,0,1
Client 132,0,1,0,0,0,0,0,1
Client 133,0,0,0,1,1,0,0,2
Client 134,1,0,0,0,0,0,0,1
Client 135,0,0,0,1,0,0,0,1
Client 136,0,1,0,0,0,0,0,1
Client 137,2,0,0,0,0,0,0,2
Client 138,0,0,0,0,0,1,1,2
Client 139,0,0,1,1,0,0,0,2
Client 140,1,0,0,1,0,0,0,2
Client 141,1,0,0,0,0,0,0,1
Client 142,0,0,0,2,0,1,0,3
Client 143,0,0,0,0,1,0,0,1
Client 144,2,2,4,4,2,2,1,17
Client 145,5,2,5,3,3,0,0,18
Client 146,0,0,1,0,0,0,0,1
Client 147,0,1,0,0,0,0,0,1
Client 148,0,0,0,0,1,0,0,1
Client 149,0,0,0,0,0,0,2,2
Client 150,0,0,0,0,0,1,0,1
Client 151,0,0,1,0,1,1,2,5
Client 152,3,1,2,4,2,2,0,14
Client 153,0,1,2,3,2,2,2,12
Client 154,0,1,0,0,0,0,0,1
Client 155,1,0,2,4,3,1,1,12
Client 156,0,0,2,2,2,0,0,6
Client 157,0,0,0,0,0,0,0,0
Client 158,1,0,0,0,0,0,0,1
Client 159,0,0,1,0,0,0,0,1
Client 160,3,0,3,1,3,1,1,12
Client 161,4,2,2,1,2,0,0,11
Client 162,0,1,0,0,0,0,0,1
Client 163,0,0,0,2,5,2,0,9
Client 164,0,0,2,0,0,0,0,2
Client 165,3,2,4,10,4,3,0,26
Client 166,1,0,0,0,0,0,0,1
Client 167,5,0,0,0,0,0,0,5
Client 168,1,0,0,0,0,0,0,1
Client 169,0,0,0,0,1,0,0,1
Client 170,0,0,0,2,3,0,0,5
Client 171,0,0,0,0,0,0,0,0
Client 172,4,4,3,0,0,0,0,11
Client 173,0,0,0,0,2,0,0,2
Client 174,0,3,5,3,1,1,2,15
Client 175,0,4,5,4,4,2,2,21
Client 176,1,1,1,3,1,2,1,10
Client 177,2,1,0,0,0,0,0,3
Client 178,3,0,2,0,0,0,0,5
Client 179,5,4,5,3,3,1,1,22
Client 180,1,0,0,0,0,0,0,1
Client 181,0,1,0,0,0,0,0,1
Client 182,0,2,6,3,6,0,2,19
Client 183,1,0,0,0,0,0,0,1
Client 184,0,0,1,0,0,0,0,1
Client 185,1,0,0,0,0,0,0,1
Client 186,1,0,0,0,0,0,0,1
Client 187,0,0,1,1,0,0,0,2
Client 188,0,4,2,2,0,1,0,9
Client 189,3,0,4,2,4,1,0,14
Client 190,0,0,0,0,0,2,0,2
Client 191,0,0,0,0,0,1,0,1
Client 192,0,1,0,0,0,0,0,1
Client 193,0,0,0,0,0,1,1,2
Client 194,0,0,0,0,0,0,0,0
Client 195,1,0,0,0,0,0,0,1
Client 196,1,0,0,0,0,0,0,1
Client 197,1,2,4,2,0,0,0,9
Client 198,0,0,0,0,0,0,0,0
Client 199,1,0,0,0,0,0,0,1
Client 200,0,0,0,0,0,0,0,0
Client 201,1,0,0,0,0,0,0,1
Client 202,1,0,2,2,1,0,0,6
Client 203,0,0,0,0,0,0,0,0
Client 204,0,0,0,0,2,5,0,7
